ope6_id,name,city,state,zip,college_url,ownership,locale,carnegie_basic,acceptance_rate,sat_25,sat_75,sat_math_25,sat_math_75,sat_cr_25,sat_cr_75,sat_avg,sat_range,act_25,act_75,act_mid,act_range,enrollment,retention_rate,student_faculty_ratio,pct_men,pct_women,pct_white,pct_black,pct_hispanic,pct_asian,pct_two_or_more,tuition_in_state,tuition_out_state,net_price,cost_attendance,median_debt,pell_rate,loan_rate,grad_rate,earnings_6yr,earnings_8yr,earnings_10yr
003172,Oklahoma State University Institute of Technology,Okmulgee,OK,74447-3901,https://osuit.edu/,Public,Town,23,,,,,,,,,,,,,,2131,,17,69.5,30.5,55.4,4.5,9.1,1.2,15.3,5774,11384,11588,16778,11334,40.1,46.9,42.2,38500,42274,45634
003170,Oklahoma State University-Main Campus,Stillwater,OK,74078-1015,www.okstate.edu/,Public,Town,15,70.9,1030,1240,510,610,520,630,1145,1030-1240,20,27,24,20-27,20814,83.9,18,47.8,52.2,66.5,4.2,9.7,2.1,10.8,10234,25754,16378,25915,20500,26.0,38.0,65.4,42600,53121,57413
009647,Oklahoma State University-Oklahoma City,Oklahoma City,OK,73107-6195,osuokc.edu/,Public,City,14,,,,,,,,,,,,,,3424,,16,36.0,64.0,53.0,11.3,19.5,2.3,8.6,3779,9564,5877,12096,14250,30.1,21.1,13.0,32500,37909,41307
003151,Oklahoma Wesleyan University,Bartlesville,OK,74006-6299,www.okwu.edu/,Private,Town,20,77.0,,,,,,,,,,,20,,663,49.0,15,54.4,45.6,55.0,7.7,10.7,1.5,8.8,31466,31466,26827,43617,24813,39.3,65.6,31.3,50500,58104,59841
003728,Old Dominion University,Norfolk,VA,23529,www.odu.edu/,Public,City,15,90.5,1110,1290,540,630,570,660,1190,1110-1290,22,27,24,22-27,17521,75.9,15,45.6,54.4,41.4,32.2,10.6,5.4,7.0,12262,32662,14170,27180,24000,36.9,42.2,46.2,38300,51738,54914
001741,Olivet Nazarene University,Bourbonnais,IL,60914-2271,https://www.olivet.edu/,Private,Suburb,18,66.9,960,1190,480,590,480,600,1103,960-1190,18,28,23,18-28,2485,68.1,14,44.1,55.9,61.0,9.6,14.1,2.7,3.8,37940,37940,21539,50557,25000,35.3,68.0,63.3,39300,53428,53213
003784,Olympic College,Bremerton,WA,98337-1699,www.olympic.edu/,Public,City,14,,,,,,,,,,,,,,3263,,19,42.2,57.8,46.0,3.6,13.2,6.9,11.2,4197,9740,7755,15380,12000,16.4,4.3,32.6,29800,39194,43169
038403,Omega Graduate School,Dayton,TN,37321-6736,www.ogs.edu/,Private,Rural,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002875,Onondaga Community College,Syracuse,NY,13215-4585,www.sunyocc.edu/,Public,Suburb,2,,,,,,,,,,,,,,4349,,19,47.4,52.6,56.5,18.2,8.3,4.2,5.7,6042,11332,7178,14613,10000,25.7,17.9,,28100,38224,41190
003985,Oral Roberts University,Tulsa,OK,74171,https://oru.edu/,Private,City,19,98.6,1083,1250,533,610,550,640,1183,1083-1250,22,27,23,22-27,3322,81.4,17,41.2,58.8,35.7,13.1,16.1,4.3,4.2,34100,34100,23600,47367,27000,33.5,46.2,58.2,33600,45092,46885
002876,Orange County Community College,Middletown,NY,10940,https://sunyorange.edu/,Public,Suburb,1,,,,,,,,,,,,,,3822,,18,39.3,60.7,38.9,15.8,24.5,2.6,2.3,6382,12046,7442,14396,12000,27.2,20.6,,31600,43891,44117
042837,Oregon Coast Community College,Newport,OR,97366,www.oregoncoastcc.org/,Public,Town,6,,,,,,,,,,,,,,321,,11,24.3,75.7,60.4,0.6,19.6,0.3,5.3,5400,5400,11695,17465,,37.2,20.8,,,,
004882,Oregon Health & Science University,Portland,OR,97239-3098,www.ohsu.edu/,Public,City,27,,,,,,,,,,,,,,788,,10,18.1,81.8,62.3,2.5,21.3,6.3,5.6,,,,,16625,28.1,61.4,,94100,103740,101028
003211,Oregon Institute of Technology,Klamath Falls,OR,97601-8801,https://www.oit.edu/,Public,,22,91.7,1045,1300,520,650,525,650,1165,1045-1300,22,26,25,22-26,2913,72.9,14,51.2,48.8,64.3,1.8,17.0,6.5,6.7,12687,35592,16391,26675,22500,19.2,25.7,58.1,52900,69982,72273
003210,Oregon State University,Corvallis,OR,97331,https://oregonstate.edu/,Public,City,15,78.8,,,,,,,,,,,25,,29557,87.5,20,51.2,48.8,63.7,2.1,12.6,8.3,7.0,13494,35664,19568,29926,21221,22.4,33.4,70.3,42700,57210,64010
001251,Otis College of Art and Design,Los Angeles,CA,90045-3505,www.otis.edu/,Private,City,30,84.0,,,,,,,,,,,25,,1242,72.9,8,30.9,69.1,22.4,5.6,21.7,17.3,8.0,55513,55513,45864,71880,27000,30.7,41.8,61.1,35100,57367,58152
001937,Ottawa University-Ottawa,Ottawa,KS,66067-3399,www.ottawa.edu/,Private,Town,22,80.0,880,1140,420,550,460,590,1011,880-1140,16,21,18,16-21,935,57.6,15,63.0,37.0,53.4,15.0,16.2,1.6,5.6,35300,35300,28083,51340,21500,35.3,85.4,28.6,41600,53089,55552
